treatment_id,management_id,Created at,Updated at
669,1615,"",""
670,1605,"",""
670,1606,"",""
670,1610,"",""
670,1611,"",""
670,1613,"",""
670,1614,"",""
670,1615,"",""
667,1605,"",""
667,1606,"",""
667,1607,"",""
667,1611,"",""
667,1613,"",""
667,1614,"",""
667,1615,"",""
664,1589,"",""
664,1590,"",""
664,1591,"",""
664,1592,"",""
664,1593,"",""
664,1594,"",""
664,1595,"",""
664,1596,"",""
664,1604,"",""
665,1589,"",""
665,1597,"",""
665,1598,"",""
665,1599,"",""
665,1600,"",""
665,1601,"",""
665,1602,"",""
665,1603,"",""
665,1604,"",""
672,1617,"",""
672,1618,"",""
672,1619,"",""
672,1624,"",""
672,1627,"",""
672,1628,"",""
672,1631,"",""
672,1632,"",""
672,1635,"",""
672,1636,"",""
672,1639,"",""
672,1640,"",""
672,1641,"",""
672,1642,"",""
672,1643,"",""
672,1644,"",""
672,1645,"",""
672,1646,"",""
679,1621,"",""
679,1622,"",""
679,1623,"",""
679,1624,"",""
679,1627,"",""
679,1628,"",""
679,1631,"",""
679,1632,"",""
679,1635,"",""
679,1636,"",""
679,1639,"",""
679,1643,"",""
679,1644,"",""
679,1645,"",""
679,1646,"",""
679,1647,"",""
679,1648,"",""
675,1617,"",""
675,1618,"",""
675,1619,"",""
675,1625,"",""
675,1627,"",""
675,1629,"",""
675,1631,"",""
675,1633,"",""
675,1635,"",""
675,1637,"",""
675,1639,"",""
675,1640,"",""
675,1641,"",""
675,1642,"",""
675,1643,"",""
675,1644,"",""
675,1645,"",""
675,1646,"",""
682,1621,"",""
682,1622,"",""
682,1623,"",""
682,1625,"",""
682,1627,"",""
682,1629,"",""
682,1631,"",""
682,1633,"",""
682,1635,"",""
682,1637,"",""
682,1639,"",""
682,1643,"",""
682,1644,"",""
682,1645,"",""
682,1646,"",""
682,1647,"",""
682,1648,"",""
671,1617,"",""
671,1618,"",""
671,1619,"",""
671,1624,"",""
671,1626,"",""
671,1628,"",""
671,1630,"",""
671,1632,"",""
671,1634,"",""
671,1636,"",""
671,1638,"",""
671,1640,"",""
671,1641,"",""
671,1642,"",""
671,1643,"",""
671,1644,"",""
671,1645,"",""
671,1646,"",""
678,1621,"",""
678,1622,"",""
678,1623,"",""
678,1624,"",""
678,1626,"",""
678,1628,"",""
678,1630,"",""
678,1632,"",""
678,1634,"",""
678,1636,"",""
678,1638,"",""
678,1643,"",""
678,1644,"",""
678,1645,"",""
678,1646,"",""
678,1647,"",""
678,1648,"",""
674,1617,"",""
674,1618,"",""
674,1619,"",""
674,1625,"",""
674,1626,"",""
674,1629,"",""
674,1630,"",""
674,1633,"",""
674,1634,"",""
674,1637,"",""
674,1638,"",""
674,1640,"",""
674,1641,"",""
674,1642,"",""
674,1643,"",""
674,1644,"",""
674,1645,"",""
674,1646,"",""
681,1621,"",""
681,1622,"",""
681,1623,"",""
681,1625,"",""
681,1626,"",""
681,1629,"",""
681,1630,"",""
681,1633,"",""
681,1634,"",""
681,1637,"",""
681,1638,"",""
681,1643,"",""
681,1644,"",""
681,1645,"",""
681,1646,"",""
681,1647,"",""
681,1648,"",""
132,879,"",""
132,880,"",""
132,881,"",""
132,882,"",""
132,883,"",""
132,884,"",""
133,879,"",""
133,880,"",""
133,881,"",""
133,882,"",""
133,883,"",""
133,885,"",""
134,879,"",""
134,880,"",""
134,881,"",""
134,882,"",""
134,883,"",""
134,886,"",""
135,865,"",""
136,1010,"",""
137,1010,"",""
137,1011,"",""
139,1010,"",""
139,1013,"",""
140,1010,"",""
140,1014,"",""
2579,7710,2015-11-02 11:23:41 -0600,2015-11-02 11:23:41 -0600
142,1463,"",""
142,1464,"",""
142,1465,"",""
142,1480,"",""
142,1481,"",""
142,1482,"",""
142,1483,"",""
2580,7711,2015-11-02 11:28:12 -0600,2015-11-02 11:28:12 -0600
143,1463,"",""
143,1464,"",""
143,1465,"",""
2581,7709,2015-11-02 11:31:40 -0600,2015-11-02 11:31:40 -0600
143,1480,"",""
143,1481,"",""
143,1482,"",""
143,1483,"",""
144,1463,"",""
144,1464,"",""
144,1465,"",""
144,1466,"",""
144,1467,"",""
144,1468,"",""
144,1469,"",""
144,1470,"",""
144,1480,"",""
144,1481,"",""
144,1482,"",""
144,1483,"",""
145,1463,"",""
145,1464,"",""
145,1465,"",""
145,1466,"",""
145,1467,"",""
145,1468,"",""
145,1469,"",""
145,1470,"",""
145,1480,"",""
145,1481,"",""
145,1482,"",""
145,1483,"",""
146,1463,"",""
146,1464,"",""
146,1465,"",""
146,1471,"",""
146,1472,"",""
146,1473,"",""
146,1474,"",""
146,1475,"",""
146,1480,"",""
146,1481,"",""
146,1482,"",""
146,1483,"",""
147,1463,"",""
147,1464,"",""
147,1465,"",""
147,1471,"",""
147,1472,"",""
147,1473,"",""
147,1474,"",""
147,1475,"",""
147,1480,"",""
147,1481,"",""
147,1482,"",""
147,1483,"",""
162,569,"",""
162,571,"",""
162,572,"",""
162,573,"",""
162,574,"",""
162,575,"",""
162,578,"",""
162,581,"",""
162,584,"",""
162,588,"",""
162,590,"",""
162,592,"",""
162,593,"",""
162,594,"",""
162,1271,"",""
162,1272,"",""
162,1273,"",""
162,1274,"",""
162,1275,"",""
162,1276,"",""
162,1277,"",""
162,1278,"",""
163,569,"",""
163,571,"",""
163,572,"",""
163,573,"",""
163,574,"",""
163,576,"",""
163,577,"",""
163,579,"",""
163,580,"",""
163,582,"",""
163,583,"",""
163,585,"",""
163,586,"",""
163,587,"",""
163,588,"",""
163,589,"",""
163,590,"",""
163,591,"",""
163,592,"",""
163,593,"",""
163,594,"",""
163,1271,"",""
163,1272,"",""
163,1273,"",""
163,1274,"",""
163,1275,"",""
163,1276,"",""
163,1277,"",""
163,1278,"",""
164,569,"",""
164,570,"",""
164,571,"",""
164,572,"",""
164,573,"",""
164,574,"",""
164,575,"",""
164,578,"",""
164,581,"",""
164,584,"",""
164,588,"",""
164,590,"",""
164,592,"",""
164,593,"",""
164,594,"",""
164,1271,"",""
164,1272,"",""
164,1273,"",""
164,1274,"",""
164,1275,"",""
164,1276,"",""
164,1277,"",""
164,1278,"",""
165,569,"",""
165,570,"",""
165,571,"",""
165,572,"",""
165,573,"",""
165,574,"",""
165,576,"",""
165,577,"",""
165,579,"",""
165,580,"",""
165,582,"",""
165,583,"",""
165,585,"",""
165,586,"",""
165,587,"",""
165,588,"",""
165,589,"",""
165,590,"",""
165,591,"",""
165,592,"",""
165,593,"",""
165,594,"",""
165,1271,"",""
165,1272,"",""
165,1273,"",""
165,1274,"",""
165,1275,"",""
165,1276,"",""
165,1277,"",""
165,1278,"",""
166,569,"",""
166,571,"",""
166,572,"",""
166,573,"",""
166,574,"",""
166,575,"",""
166,578,"",""
166,581,"",""
166,584,"",""
166,588,"",""
166,590,"",""
166,592,"",""
166,593,"",""
166,594,"",""
166,1271,"",""
166,1272,"",""
166,1273,"",""
166,1274,"",""
166,1275,"",""
166,1276,"",""
166,1277,"",""
166,1278,"",""
167,569,"",""
167,571,"",""
167,572,"",""
167,573,"",""
167,574,"",""
167,576,"",""
167,577,"",""
167,579,"",""
167,580,"",""
167,582,"",""
167,583,"",""
167,585,"",""
167,586,"",""
167,587,"",""
167,588,"",""
167,589,"",""
167,590,"",""
167,591,"",""
167,592,"",""
167,593,"",""
167,594,"",""
167,1271,"",""
167,1272,"",""
167,1273,"",""
167,1274,"",""
167,1275,"",""
167,1276,"",""
167,1277,"",""
167,1278,"",""
168,569,"",""
168,571,"",""
168,572,"",""
168,573,"",""
168,574,"",""
168,575,"",""
168,578,"",""
168,581,"",""
168,584,"",""
168,588,"",""
168,590,"",""
168,592,"",""
168,593,"",""
168,594,"",""
168,1271,"",""
168,1272,"",""
168,1273,"",""
168,1274,"",""
168,1275,"",""
168,1276,"",""
168,1277,"",""
168,1278,"",""
169,569,"",""
169,571,"",""
169,572,"",""
169,573,"",""
169,574,"",""
169,576,"",""
169,577,"",""
169,579,"",""
169,580,"",""
169,582,"",""
169,583,"",""
